council_name,tel_phone,ceo_name,postcode,fax,mayor,email,website,address
East Gippsland Shire Council,5153 9500,Ms Fiona Weigall,3896,,Cr John White,feedback@egipps.vic.gov.au,www.eastgippsland.vic.gov.au,"273 Main Street, BAIRNSDALE, PO Box 1618, BAIRNSDALE  3875"
Nillumbik Shire Council,9433 3111,Mr Carl Cowie,3091,,Cr John Dumaresq,nillumbik@nillumbik.vic.gov.au,www.nillumbik.vic.gov.au,"Civic Drive, GREENSBOROUGH, PO Box 476, GREENSBOROUGH  3088"
Frankston City Council,1300 322 322,Mr Phil Cantillon,3910,,Cr Kris Bolam,info@frankston.vic.gov.au,www.frankston.vic.gov.au,"30 Davey Street, FRANKSTON, PO Box 490, FRANKSTON  3199"
Campaspe Shire Council,5481 2200,Ms Pauline Gordon,3621,5481 2290,Cr Daniel Mackrell,shire@campaspe.vic.gov.au,www.campaspe.vic.gov.au,"Cnr Hare & Heygarth Streets, ECHUCA, PO Box 35, ECHUCA  3564"
,,,3392,,,,,
,,,3390,,,,,
,,,3388,,,,,
Northern Grampians Shire Council,5358 8700,Mr Brent McAlister,3385,,Cr Karen Hyslop,ngshire@ngshire.vic.gov.au,www.ngshire.vic.gov.au,"59-69 Main Street , STAWELL, PO Box 580, STAWELL  3380"
Central Goldfields Shire Council,5461 0610,Ms Sally Jones,3464,5461 0666,Cr Grace La Vella,mail@cgoldshire.vic.gov.au,www.centralgoldfields.com.au,"12-22 Nolan Street, MARYBOROUGH, PO Box 194, MARYBOROUGH  3465"
South Gippsland Shire Council,5662 9200,Allison Jones,3988,,Cr John Schelling,council@southgippsland.vic.gov.au,www.southgippsland.vic.gov.au,"9 Smith Street, LEONGATHA, Private Bag 4, LEONGATHA  3953"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3765,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Port Phillip City Council,9209 6777,Mr Chris Carroll,3206,9534 9105,Cr Louise Crawford, NO GENERAL EMAIL,www.portphillip.vic.gov.au,"99a Carlisle Street, ST KILDA, Private Bag 3, ST KILDA  3182"
Manningham City Council,9840 9333,Mr Andrew Day,3115,9848 3110,Cr Deirdre Diamante,manningham@manningham.vic.gov.au,www.manningham.vic.gov.au,"699 Doncaster Road, DONCASTER, PO Box 1, DONCASTER  3108"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3777,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Baw Baw Shire Council,5624 2411,Mr Cohen Van der Velde,3825,5622 3654,Cr Danny Goss,bawbaw@bawbawshire.vic.gov.au,www.bawbawshire.vic.gov.au,"33 Young Street, DROUIN, PO Box 304, WARRAGUL  3820"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3159,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Cardinia Shire Council,1300 787 624,Ms Carol Jeffs,3808,,Cr Jack Kowarzik,mail@cardinia.vic.gov.au,www.cardinia.vic.gov.au,"20 Siding Avenue, OFFICER, PO Box 7, PAKENHAM  3810"
Baw Baw Shire Council,5624 2411,Mr Cohen Van der Velde,3833,5622 3654,Cr Danny Goss,bawbaw@bawbawshire.vic.gov.au,www.bawbawshire.vic.gov.au,"33 Young Street, DROUIN, PO Box 304, WARRAGUL  3820"
Wellington Shire Council,1300 366 244,Mr David Morcom,3851,5142 3501,Cr Scott Rossetti,enquiries@wellington.vic.gov.au,www.wellington.vic.gov.au,"18 Desailly Street, SALE, PO Box 506, SALE  3850"
Mansfield Shire Council,5775 8555,Ms Kirsten Alexander,3715,5775 2677,Cr Steve Rabie,council@mansfield.vic.gov.au,www.mansfield.vic.gov.au,"33 Highett Street, MANSFIELD, Private Bag 1000, MANSFIELD  3724"
Baw Baw Shire Council,5624 2411,Mr Cohen Van der Velde,3818,5622 3654,Cr Danny Goss,bawbaw@bawbawshire.vic.gov.au,www.bawbawshire.vic.gov.au,"33 Young Street, DROUIN, PO Box 304, WARRAGUL  3820"
Wellington Shire Council,1300 366 244,Mr David Morcom,3859,5142 3501,Cr Scott Rossetti,enquiries@wellington.vic.gov.au,www.wellington.vic.gov.au,"18 Desailly Street, SALE, PO Box 506, SALE  3850"
Wellington Shire Council,1300 366 244,Mr David Morcom,3862,5142 3501,Cr Scott Rossetti,enquiries@wellington.vic.gov.au,www.wellington.vic.gov.au,"18 Desailly Street, SALE, PO Box 506, SALE  3850"
Mitchell Shire Council,5734 6200,Ms Mary Agostino,3660,5734 6222,Cr John Dougall,mitchell@mitchellshire.vic.gov.au,www.mitchellshire.vic.gov.au,"113 High Street, BROADFORD, 113 High Street, BROADFORD  3658"
Ballarat City Council,5320 5500,Mr Evan King,3356,5333 4061,Cr Tracey Hargreaves,info@ballarat.vic.gov.au,www.ballarat.vic.gov.au,"25 Armstrong Street South, BALLARAT, PO Box 655, BALLARAT  3353"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3796,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3799,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Buloke Shire Council,1300 520 520,Mr Wayne O'Toole,3480,5493 7395,Cr Alan Getley,buloke@buloke.vic.gov.au,www.buloke.vic.gov.au,"367 Broadway, WYCHEPROOF, PO Box 1, WYCHEPROOF  3527"
Casey City Council,9705 5200,Mr Glenn Patterson,3978,9704 9544,Cr Stefan Koomen,caseycc@casey.vic.gov.au,www.casey.vic.gov.au,"Bunjil Place, Patrick Northeast Drive, NARRE WARREN, PO Box 1000, NARRE WARREN  3805"
Loddon Shire Council,5494 1200,Mr Lincoln Fitzgerald,3537,5494 3003,Cr Dan Straub,loddon@loddon.vic.gov.au,www.loddon.vic.gov.au,"41 High Street, WEDDERBURN, PO Box 21, WEDDERBURN  3518"
Alpine Shire Council,5755 0555,Mr Will Jeremy,3740,5755 1811,Cr Sarah Nicholas,info@alpineshire.vic.gov.au,www.alpineshire.vic.gov.au,"Great Alpine Road, BRIGHT, PO Box 139, BRIGHT  3741"
Alpine Shire Council,5755 0555,Mr Will Jeremy,3741,5755 1811,Cr Sarah Nicholas,info@alpineshire.vic.gov.au,www.alpineshire.vic.gov.au,"Great Alpine Road, BRIGHT, PO Box 139, BRIGHT  3741"
Casey City Council,9705 5200,Mr Glenn Patterson,3977,9704 9544,Cr Stefan Koomen,caseycc@casey.vic.gov.au,www.casey.vic.gov.au,"Bunjil Place, Patrick Northeast Drive, NARRE WARREN, PO Box 1000, NARRE WARREN  3805"
Northern Grampians Shire Council,5358 8700,Mr Brent McAlister,3477,,Cr Karen Hyslop,ngshire@ngshire.vic.gov.au,www.ngshire.vic.gov.au,"59-69 Main Street , STAWELL, PO Box 580, STAWELL  3380"
Buloke Shire Council,1300 520 520,Mr Wayne O'Toole,3482,5493 7395,Cr Alan Getley,buloke@buloke.vic.gov.au,www.buloke.vic.gov.au,"367 Broadway, WYCHEPROOF, PO Box 1, WYCHEPROOF  3527"
Colac Otway Shire Council,5232 9400,Ms Anne Howard,3238,5232 1046,Cr Jason Schram,inq@colacotway.vic.gov.au,www.colacotway.vic.gov.au,"2-6 Rae Street, COLAC, PO Box 283, COLAC  3250"
Glenelg Shire Council,1300 453 635,Ms Helen Havercroft,3304,,Cr Karen Stephens,enquiry@glenelg.vic.gov.au,www.glenelg.vic.gov.au,"71 Cliff Street, PORTLAND, PO Box 152, PORTLAND  3305"
West Wimmera Shire Council,13 99 72 / 5585 9900,Mr David Bezuidenhout,3419,5585 9950,Cr Tim Meyer,council@westwimmera.vic.gov.au,www.westwimmera.vic.gov.au,"49 Elizabeth Street, EDENHOPE, PO Box 201, EDENHOPE  3318"
Central Goldfields Shire Council,5461 0610,Ms Sally Jones,3371,5461 0666,Cr Grace La Vella,mail@cgoldshire.vic.gov.au,www.centralgoldfields.com.au,"12-22 Nolan Street, MARYBOROUGH, PO Box 194, MARYBOROUGH  3465"
Alpine Shire Council,5755 0555,Mr Will Jeremy,3744,5755 1811,Cr Sarah Nicholas,info@alpineshire.vic.gov.au,www.alpineshire.vic.gov.au,"Great Alpine Road, BRIGHT, PO Box 139, BRIGHT  3741"
Port Phillip City Council,9209 6777,Mr Chris Carroll,3184,9534 9105,Cr Louise Crawford, NO GENERAL EMAIL,www.portphillip.vic.gov.au,"99a Carlisle Street, ST KILDA, Private Bag 3, ST KILDA  3182"
Mornington Peninsula Shire Council,1300 850 600,Mr Bulent Oz,3936,5986 6696,Cr Anthony Marsh,customerservice@mornpen.vic.gov.au,www.mornpen.vic.gov.au,"90 Besgrove Street, ROSEBUD, Private Bag 1000, ROSEBUD  3939"
Corangamite Shire Council,5593 7100,Mr David Rae,3268,5593 2695,Cr Kate Makin,shire@corangamite.vic.gov.au,www.corangamite.vic.gov.au,"181 Maniford Street, CAMPERDOWN, PO Box 84, CAMPERDOWN  3260"
Wyndham City Council,1300 023 411,Mr Stephen Wall,3029,,Cr Mia Shaw,mail@wyndham.vic.gov.au,www.wyndham.vic.gov.au,"45 Princes Highway, WERRIBEE, PO Box 197, WERRIBEE  3030"
Mount Alexander Shire Council,5471 1700,Mr Darren Fuzzard,3450,,Cr Rosie Annear,info@mountalexander.vic.gov.au,www.mountalexander.vic.gov.au,"Cnr Lyttleton & Lloyd Streets, CASTLEMAINE, PO Box 185, CASTLEMAINE  3450"
Mornington Peninsula Shire Council,1300 850 600,Mr Bulent Oz,3911,5986 6696,Cr Anthony Marsh,customerservice@mornpen.vic.gov.au,www.mornpen.vic.gov.au,"90 Besgrove Street, ROSEBUD, Private Bag 1000, ROSEBUD  3939"
Mount Alexander Shire Council,5471 1700,Mr Darren Fuzzard,3448,,Cr Rosie Annear,info@mountalexander.vic.gov.au,www.mountalexander.vic.gov.au,"Cnr Lyttleton & Lloyd Streets, CASTLEMAINE, PO Box 185, CASTLEMAINE  3450"
Yarra City Council,9205 5555,Ms Sue Wilkinson,3066,,Cr Stephen Jolly,info@yarracity.vic.gov.au,www.yarracity.vic.gov.au,"333 Bridge Road, RICHMOND, PO Box 168, RICHMOND  3121"
Buloke Shire Council,1300 520 520,Mr Wayne O'Toole,3529,5493 7395,Cr Alan Getley,buloke@buloke.vic.gov.au,www.buloke.vic.gov.au,"367 Broadway, WYCHEPROOF, PO Box 1, WYCHEPROOF  3527"
Hume City Council,9205 2200,Ms Sheena Frost,3045,9309 0109,Cr Jarrod Bell,contactus@hume.vic.gov.au,www.hume.vic.gov.au,"1079 Pascoe Vale Road, BROADMEADOWS, PO Box 119, DALLAS  3047"
Pyrenees Shire Council,5349 1100,Mr Jim Nolan,3351,5349 2068,Cr Tanya Kehoe,pyrenees@pyrenees.vic.gov.au,www.pyrenees.vic.gov.au,"5 Lawrence Street, BEAUFORT, 5 Lawrence Street, BEAUFORT  3373"
Whittlesea City Council,9217 2170,Mr Craig Lloyd,3082,9409 9800,Cr Aidan McLindon,info@whittlesea.vic.gov.au,www.whittlesea.vic.gov.au,"25 Ferres Boulevard, SOUTH MORANG, Locked Bag 1, BUNDOORA MDC  3083"
Greater Shepparton City Council,5832 9700,Ms Fiona Le Gassick,3634,,Cr Shane Sali,council@shepparton.vic.gov.au,greatershepparton.com.au,"90 Welsford Street, SHEPPARTON, Locked Bag 1000, SHEPPARTON  3632"
Mount Alexander Shire Council,5471 1700,Mr Darren Fuzzard,3451,,Cr Rosie Annear,info@mountalexander.vic.gov.au,www.mountalexander.vic.gov.au,"Cnr Lyttleton & Lloyd Streets, CASTLEMAINE, PO Box 185, CASTLEMAINE  3450"
Greater Geelong City Council,5272 5272,Ms Ali Wastie ,3223,,Cr Dr Stretch Kontelj,COGGRecords@geelongcity.vic.gov.au,www.geelongaustralia.com.au,"Wurriki Nyal, 137-149 Mercer Street, GEELONG, PO Box 104, GEELONG  3220"
Moorabool Shire Council,5366 7100,Mr Derek Madden,3458,,Cr Paul Tatchell,info@moorabool.vic.gov.au,www.moorabool.vic.gov.au ,"15 Stead Street, BALLAN, PO Box 18, BALLAN  3342"
Melton City Council,9747 7200,Ms Roslyn Wai,3335,9743 9970,Cr Steve Abboushi,csu@melton.vic.gov.au,www.melton.vic.gov.au,"232 High Street, MELTON, PO Box 21, MELTON  3337"
Indigo Shire Council,5728 8000,Mr Trevor Ierino,3691,,Cr Sophie Price,info@indigoshire.vic.gov.au,www.indigoshire.vic.gov.au,"2 Kurrajong Way, BEECHWORTH, PO Box 28, BEECHWORTH  3747"
Greater Shepparton City Council,5832 9700,Ms Fiona Le Gassick,3610,,Cr Shane Sali,council@shepparton.vic.gov.au,greatershepparton.com.au,"90 Welsford Street, SHEPPARTON, Locked Bag 1000, SHEPPARTON  3632"
Hepburn Shire Council,5348 2306,Mr Bradley Thomas,3461,,Cr Don Henderson,shire@hepburn.vic.gov.au,www.hepburn.vic.gov.au,"76 Vincent Street, DAYLESFORD, PO Box 21, DAYLESFORD  3460"
Knox City Council,9298 8000,Mr Bruce Dobson,3155,9800 3096,Cr Lisa Cooper,knoxcc@knox.vic.gov.au,www.knox.vic.gov.au,"511 Burwood Highway, WANTIRNA SOUTH, 511 Burwood Highway, WANTIRNA SOUTH  3152"
Swan Hill Rural City Council,5036 2333,Mr Scott Barber,3584,5036 2340,Cr Stuart King,council@swanhill.vic.gov.au,www.swanhill.vic.gov.au,"45 Splatt Street, SWAN HILL, PO Box 488, SWAN HILL  3585"
Campaspe Shire Council,5481 2200,Ms Pauline Gordon,3562,5481 2290,Cr Daniel Mackrell,shire@campaspe.vic.gov.au,www.campaspe.vic.gov.au,"Cnr Hare & Heygarth Streets, ECHUCA, PO Box 35, ECHUCA  3564"
East Gippsland Shire Council,5153 9500,Ms Fiona Weigall,3904,,Cr John White,feedback@egipps.vic.gov.au,www.eastgippsland.vic.gov.au,"273 Main Street, BAIRNSDALE, PO Box 1618, BAIRNSDALE  3875"
Horsham Rural City Council,5382 9777,Mr Craig Niemann,3409,5382 1111,Cr Ian Ross,council@hrcc.vic.gov.au,www.hrcc.vic.gov.au,"Civic Centre, Roberts Avenue, HORSHAM, PO Box 511, HORSHAM  3402"
Southern Grampians Shire Council,5573 0444,Mr Tony Doyle,3293,,Cr Dennis Heslin,council@sthgrampians.vic.gov.au,www.sthgrampians.vic.gov.au,"111 Brown Street, HAMILTON, Locked Bag 685, HAMILTON  3300"
Whitehorse City Council,9262 6333,Mr Simon McMillan,3130,9262 6490,Cr Andrew Davenport,customer.service@whitehorse.vic.gov.au,www.whitehorse.vic.gov.au,"379-399 Whitehorse Road, NUNAWADING, Locked Bag 2, NUNAWADING  3131"
East Gippsland Shire Council,5153 9500,Ms Fiona Weigall,3900,,Cr John White,feedback@egipps.vic.gov.au,www.eastgippsland.vic.gov.au,"273 Main Street, BAIRNSDALE, PO Box 1618, BAIRNSDALE  3875"
Alpine Shire Council,5755 0555,Mr Will Jeremy,3699,5755 1811,Cr Sarah Nicholas,info@alpineshire.vic.gov.au,www.alpineshire.vic.gov.au,"Great Alpine Road, BRIGHT, PO Box 139, BRIGHT  3741"
Melton City Council,9747 7200,Ms Roslyn Wai,3427,9743 9970,Cr Steve Abboushi,csu@melton.vic.gov.au,www.melton.vic.gov.au,"232 High Street, MELTON, PO Box 21, MELTON  3337"
Boroondara City Council,9278 4444,Mr Phillip Storer,3126,9278 4466,Cr Sophie Torney,boroondara@boroondara.vic.gov.au,www.boroondara.vic.gov.au,"8 Inglesby Road, CAMBERWELL, Private Bag 1, CAMBERWELL  3124"
Mornington Peninsula Shire Council,1300 850 600,Mr Bulent Oz,3942,5986 6696,Cr Anthony Marsh,customerservice@mornpen.vic.gov.au,www.mornpen.vic.gov.au,"90 Besgrove Street, ROSEBUD, Private Bag 1000, ROSEBUD  3939"
Greater Dandenong City Council,8571 1000,Ms Jacqui Weatherill,3173,8571 5196,Cr Jim Memeti,council@cgd.vic.gov.au,www.greaterdandenong.com,"225 Lonsdale Street, DANDENONG, PO Box 200, DANDENONG  3175"
Manningham City Council,9840 9333,Mr Andrew Day,3109,9848 3110,Cr Deirdre Diamante,manningham@manningham.vic.gov.au,www.manningham.vic.gov.au,"699 Doncaster Road, DONCASTER, PO Box 1, DONCASTER  3108"
Greater Geelong City Council,5272 5272,Ms Ali Wastie ,3227,,Cr Dr Stretch Kontelj,COGGRecords@geelongcity.vic.gov.au,www.geelongaustralia.com.au,"Wurriki Nyal, 137-149 Mercer Street, GEELONG, PO Box 104, GEELONG  3220"
Campaspe Shire Council,5481 2200,Ms Pauline Gordon,3564,5481 2290,Cr Daniel Mackrell,shire@campaspe.vic.gov.au,www.campaspe.vic.gov.au,"Cnr Hare & Heygarth Streets, ECHUCA, PO Box 35, ECHUCA  3564"
Ararat Rural City Council,5355 0200,Dr Tim Harrison,3377,5352 1695,Cr Jo Armstrong,council@ararat.vic.gov.au,www.ararat.vic.gov.au,"59 Vincent Street, ARARAT, PO Box 246, ARARAT  3377"
East Gippsland Shire Council,5153 9500,Ms Fiona Weigall,3875,,Cr John White,feedback@egipps.vic.gov.au,www.eastgippsland.vic.gov.au,"273 Main Street, BAIRNSDALE, PO Box 1618, BAIRNSDALE  3875"
Melton City Council,9747 7200,Ms Roslyn Wai,3023,9743 9970,Cr Steve Abboushi,csu@melton.vic.gov.au,www.melton.vic.gov.au,"232 High Street, MELTON, PO Box 21, MELTON  3337"
East Gippsland Shire Council,5153 9500,Ms Fiona Weigall,3888,,Cr John White,feedback@egipps.vic.gov.au,www.eastgippsland.vic.gov.au,"273 Main Street, BAIRNSDALE, PO Box 1618, BAIRNSDALE  3875"
Glen Eira City Council,9524 3333,Ms Rebecca McKenzie,3183,9523 0339,Cr Simone Zmood,mail@gleneira.vic.gov.au,www.gleneira.vic.gov.au,"Cnr Glen Eira & Hawthorn Rds, CAULFIELD SOUTH, PO Box 42, CAULFIELD SOUTH  3162"
Mildura Rural City Council,5018 8100,Mr Martin Hawson,3491,5021 1899,Cr Helen Healy,mrcc@mildura.vic.gov.au,www.mildura.vic.gov.au,"108-116 Madden Avenue, MILDURA, PO Box 105, MILDURA  3502"
Mildura Rural City Council,5018 8100,Mr Martin Hawson,3500,5021 1899,Cr Helen Healy,mrcc@mildura.vic.gov.au,www.mildura.vic.gov.au,"108-116 Madden Avenue, MILDURA, PO Box 105, MILDURA  3502"
Southern Grampians Shire Council,5573 0444,Mr Tony Doyle,3289,,Cr Dennis Heslin,council@sthgrampians.vic.gov.au,www.sthgrampians.vic.gov.au,"111 Brown Street, HAMILTON, Locked Bag 685, HAMILTON  3300"
East Gippsland Shire Council,5153 9500,Ms Fiona Weigall,3895,,Cr John White,feedback@egipps.vic.gov.au,www.eastgippsland.vic.gov.au,"273 Main Street, BAIRNSDALE, PO Box 1618, BAIRNSDALE  3875"
Hobsons Bay City Council,9932 1000,Ms Kerry Thompson,3018,9932 1039,Cr Daria Kellander,customerservice@hobsonsbay.vic.gov.au,www.hobsonsbay.vic.gov.au,"115 Civic Parade, ALTONA, PO Box 21, ALTONA  3018"
Kingston City Council,1300 653 356,Mr Peter Bean,3195,9581 4500,Cr Georgina Oxley,info@kingston.vic.gov.au,www.kingston.vic.gov.au,"1230 Nepean Highway, CHELTENHAM, PO Box 1000, MENTONE  3194"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3158,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3779,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Mansfield Shire Council,5775 8555,Ms Kirsten Alexander,3723,5775 2677,Cr Steve Rabie,council@mansfield.vic.gov.au,www.mansfield.vic.gov.au,"33 Highett Street, MANSFIELD, Private Bag 1000, MANSFIELD  3724"
Moorabool Shire Council,5366 7100,Mr Derek Madden,3345,,Cr Paul Tatchell,info@moorabool.vic.gov.au,www.moorabool.vic.gov.au ,"15 Stead Street, BALLAN, PO Box 18, BALLAN  3342"
Whitehorse City Council,9262 6333,Mr Simon McMillan,3131,9262 6490,Cr Andrew Davenport,customer.service@whitehorse.vic.gov.au,www.whitehorse.vic.gov.au,"379-399 Whitehorse Road, NUNAWADING, Locked Bag 2, NUNAWADING  3131"
Loddon Shire Council,5494 1200,Mr Lincoln Fitzgerald,3520,5494 3003,Cr Dan Straub,loddon@loddon.vic.gov.au,www.loddon.vic.gov.au,"41 High Street, WEDDERBURN, PO Box 21, WEDDERBURN  3518"
Nillumbik Shire Council,9433 3111,Mr Carl Cowie,3096,,Cr John Dumaresq,nillumbik@nillumbik.vic.gov.au,www.nillumbik.vic.gov.au,"Civic Drive, GREENSBOROUGH, PO Box 476, GREENSBOROUGH  3088"
Colac Otway Shire Council,5232 9400,Ms Anne Howard,3233,5232 1046,Cr Jason Schram,inq@colacotway.vic.gov.au,www.colacotway.vic.gov.au,"2-6 Rae Street, COLAC, PO Box 283, COLAC  3250"
Stonnington City Council,8290 1333,Mr Dale Dickson,3144,,Cr Melina Sehr,council@stonnington.vic.gov.au,www.stonnington.vic.gov.au,"311 Glenferrie Road, MALVERN, PO Box 58, MALVERN  3144"
Kingston City Council,1300 653 356,Mr Peter Bean,3196,9581 4500,Cr Georgina Oxley,info@kingston.vic.gov.au,www.kingston.vic.gov.au,"1230 Nepean Highway, CHELTENHAM, PO Box 1000, MENTONE  3194"
Surf Coast Shire Council,5261 0600,Ms Robyn Seymour,3241,5261 0525,Cr Mike Bodsworth,info@surfcoast.vic.gov.au,www.surfcoast.vic.gov.au,"1 Merrijig Drive, TORQUAY, PO Box 350, TORQUAY  3228"
,,,3396,,,,,
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3787,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Greater Geelong City Council,5272 5272,Ms Ali Wastie ,3222,,Cr Dr Stretch Kontelj,COGGRecords@geelongcity.vic.gov.au,www.geelongaustralia.com.au,"Wurriki Nyal, 137-149 Mercer Street, GEELONG, PO Box 104, GEELONG  3220"
Murrindindi Shire Council,5772 0333,Ms Livia Bonazzi,3778,5772 2291,Cr Damien Gallagher,msc@murrindindi.vic.gov.au,www.murrindindi.vic.gov.au,"28 Perkins Street, ALEXANDRA, PO Box 138, ALEXANDRA  3714"
Knox City Council,9298 8000,Mr Bruce Dobson,3154,9800 3096,Cr Lisa Cooper,knoxcc@knox.vic.gov.au,www.knox.vic.gov.au,"511 Burwood Highway, WANTIRNA SOUTH, 511 Burwood Highway, WANTIRNA SOUTH  3152"
Moyne Shire Council,5568 0555,Mr Mark Eversteyn,3276,5568 2515,Cr Karen Foster,moyne@moyne.vic.gov.au,www.moyne.vic.gov.au,"Princes Street, PORT FAIRY, PO Box 51, PORT FAIRY  3284"
Glenelg Shire Council,1300 453 635,Ms Helen Havercroft,3292,,Cr Karen Stephens,enquiry@glenelg.vic.gov.au,www.glenelg.vic.gov.au,"71 Cliff Street, PORTLAND, PO Box 152, PORTLAND  3305"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3797,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Casey City Council,9705 5200,Mr Glenn Patterson,3803,9704 9544,Cr Stefan Koomen,caseycc@casey.vic.gov.au,www.casey.vic.gov.au,"Bunjil Place, Patrick Northeast Drive, NARRE WARREN, PO Box 1000, NARRE WARREN  3805"
Bass Coast Shire Council,1300 BCOAST (226278),Mr Greg Box,3992,5671 2222,Cr Rochelle Halstead,basscoast@basscoast.vic.gov.au,www.basscoast.vic.gov.au,"76 McBride Avenue, WONTHAGGI, PO Box 118, WONTHAGGI  3995"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3792,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Maribyrnong City Council,9688 0200,Ms Celia Haddock,3011,9687 7793,Cr Pradeep Tiwari,email@maribyrnong.vic.gov.au,www.maribyrnong.vic.gov.au,"61 Napier St, FOOTSCRAY, PO Box 58, WEST FOOTSCRAY  3012"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3766,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3139,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Hume City Council,9205 2200,Ms Sheena Frost,3429,9309 0109,Cr Jarrod Bell,contactus@hume.vic.gov.au,www.hume.vic.gov.au,"1079 Pascoe Vale Road, BROADMEADOWS, PO Box 119, DALLAS  3047"
Wangaratta Rural City Council,5722 0888,Mr Brendan McGrath,3677,5721 9526,Cr Irene Grant,council@wangaratta.vic.gov.au,www.wangaratta.vic.gov.au,"Cnr Ford & Ovens Streets, WANGARATTA, PO Box 238, WANGARATTA  3676"
Cardinia Shire Council,1300 787 624,Ms Carol Jeffs,3813,,Cr Jack Kowarzik,mail@cardinia.vic.gov.au,www.cardinia.vic.gov.au,"20 Siding Avenue, OFFICER, PO Box 7, PAKENHAM  3810"
Glenelg Shire Council,1300 453 635,Ms Helen Havercroft,3310,,Cr Karen Stephens,enquiry@glenelg.vic.gov.au,www.glenelg.vic.gov.au,"71 Cliff Street, PORTLAND, PO Box 152, PORTLAND  3305"
Maribyrnong City Council,9688 0200,Ms Celia Haddock,3013,9687 7793,Cr Pradeep Tiwari,email@maribyrnong.vic.gov.au,www.maribyrnong.vic.gov.au,"61 Napier St, FOOTSCRAY, PO Box 58, WEST FOOTSCRAY  3012"
Ararat Rural City Council,5355 0200,Dr Tim Harrison,3378,5352 1695,Cr Jo Armstrong,council@ararat.vic.gov.au,www.ararat.vic.gov.au,"59 Vincent Street, ARARAT, PO Box 246, ARARAT  3377"
Moorabool Shire Council,5366 7100,Mr Derek Madden,3341,,Cr Paul Tatchell,info@moorabool.vic.gov.au,www.moorabool.vic.gov.au ,"15 Stead Street, BALLAN, PO Box 18, BALLAN  3342"
Moyne Shire Council,5568 0555,Mr Mark Eversteyn,3286,5568 2515,Cr Karen Foster,moyne@moyne.vic.gov.au,www.moyne.vic.gov.au,"Princes Street, PORT FAIRY, PO Box 51, PORT FAIRY  3284"
Mornington Peninsula Shire Council,1300 850 600,Mr Bulent Oz,3938,5986 6696,Cr Anthony Marsh,customerservice@mornpen.vic.gov.au,www.mornpen.vic.gov.au,"90 Besgrove Street, ROSEBUD, Private Bag 1000, ROSEBUD  3939"
Frankston City Council,1300 322 322,Mr Phil Cantillon,3199,,Cr Kris Bolam,info@frankston.vic.gov.au,www.frankston.vic.gov.au,"30 Davey Street, FRANKSTON, PO Box 490, FRANKSTON  3199"
